PROJECT,STATION_NO,LATITUDE,LONGITUDE,SAMPLE_DATE,PROJECT_NAME,CELLS_L
SP198016,333,-33,152,5/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,334,-32.21667,152.66667,5/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,335,-32.25,153.81667,6/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,336,-32.2,153.16667,7/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,337,-24.1,152.85,9/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,338,-24.01667,153.11667,10/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,339,-23.85,153.66667,10/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,340,-23.53333,154.88333,10/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,341,-23.26667,155.3,10/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,342,-21.08333,152.81667,12/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,343,-20.83333,153.11667,12/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,344,-20.4,153.5,12/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,345,-19.43333,154.43333,12/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,346,-20.55,151.2,13/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,347,-19.81667,151.35,14/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,348,-18.95,151.58333,14/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,349,-18.53333,151.6,14/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,350,-18.11667,151.7,14/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,351,-17.53333,151.81667,15/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,352,-17.98333,150.53333,15/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,353,-18.26667,150.08333,15/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,354,-18.56667,149.66667,15/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,355,-18.9,149.23333,16/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,356,-19.05,149.05,16/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,357,-17.75,148.25,16/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,358,-17.95,147.86667,16/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,359,-18.1,147.58333,17/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,360,-18.2,147.45,17/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,361,-18.23333,147.36667,17/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,362,-15.53333,147.03333,18/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,363,-15.65,145.98333,18/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198016,364,-15.66667,145.83333,18/11/1980 0:00,"East Australian Current and eddy studies (""Courageous""   ""Sprightly"")  1978-1984",
SP198105,119,-34.08333,151.26667,29/04/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,120,-35.08333,150.9,29/04/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,121,-35.1,151.16667,30/04/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,122,-35.66667,150.43333,30/04/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,123,-35.75,151.75,30/04/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,124,-35.76667,151.75,1/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,125,-35.8,151.75,1/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,126,-35.7,151.5,1/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,127,-35.71667,150.65,2/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,128,-35.81667,150.81667,2/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,129,-35.63333,151.83333,2/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,130,-35.61667,151.98333,3/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,131,-35.66667,151.05,3/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,132,-35.81667,150.93333,4/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,133,-35.85,150.65,4/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,134,-36.63333,151.71667,5/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,135,-36.8,151.88333,5/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,136,-36.28333,151.86667,5/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,137,-36.03333,151.81667,6/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,138,-35.73333,151.68333,6/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,139,-35.93333,152.18333,6/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,140,-35.86667,152.21667,7/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,141,-35.83333,152.16667,7/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,142,-35.31667,151.85,7/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,143,-35.33333,151.66667,8/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,144,-35.45,151.4,8/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,145,-35.65,151.33333,8/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,146,-35.71667,151.5,9/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,147,-36.36667,150.26667,9/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,148,-36.21667,150.38333,10/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,149,-36.01667,150.46667,10/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,150,-34.7,151.25,10/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,151,-34.5,151.35,11/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,152,-34.26667,151.53333,11/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198105,153,-34.05,151.65,11/05/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,440,-34.08333,151.2,9/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,441,-34.06667,151.21667,9/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,442,-34.08333,151.26667,9/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,443,-34.06667,151.4,9/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,444,-34.06667,151.51667,9/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,445,-34.15,151.15,9/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,446,-34.08333,151.31667,10/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,447,-32.45,152.63333,11/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,448,-32.55,153.05,11/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,449,-32.45,152.71667,11/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,450,-32.45,152.8,12/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,451,-32.55,152.93333,12/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,452,-32.81667,152.88333,12/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,453,-32.56667,152.35,12/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,454,-32.56667,152.41667,12/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,455,-32.6,152.48333,13/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,456,-32.65,152.53333,13/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,457,-32.81667,152.85,13/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,458,-32.85,152,13/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
SP198111,459,-32.91667,152.15,14/10/1981 0:00,Zooplankton Biology and Ecology Project 1981-1987,
