LATITUDE,LONGITUDE,SAMPLE_DATE,BIOREGION,CELLS_L
-36.65693,150.58145,2010-06-04 21:01:14,South-east,0
-36.65693,150.58145,2010-06-04 21:01:14,South-east,0
-36.97899,150.47251,2010-06-04 21:59:04,South-east,0
-36.97899,150.47251,2010-06-04 21:59:04,South-east,0
-37.30094,150.36265,2010-06-04 22:56:55,South-east,0
-37.30094,150.36265,2010-06-04 22:56:55,South-east,0
-37.6228,150.25185,2010-06-04 23:54:46,South-east,0
-37.6228,150.25185,2010-06-04 23:54:46,South-east,0
-37.87981,149.99227,2010-06-05 00:52:36,South-east,0
-37.87981,149.99227,2010-06-05 00:52:36,South-east,0
-34.16882,151.28507,2009-07-27 07:31:20,Temperate East,0
-34.16882,151.28507,2009-07-27 07:31:20,Temperate East,0
-34.51939,151.2213,2009-07-27 08:29:54,Temperate East,0
-34.51939,151.2213,2009-07-27 08:29:54,Temperate East,0
-34.86992,151.157,2009-07-27 09:28:29,Temperate East,0
-34.86992,151.157,2009-07-27 09:28:29,Temperate East,0
-35.21528,151.06273,2009-07-27 10:27:03,Temperate East,0
-35.21528,151.06273,2009-07-27 10:27:03,Temperate East,0
-35.55753,150.95021,2009-07-27 11:25:38,Temperate East,0
-35.55753,150.95021,2009-07-27 11:25:38,Temperate East,0
-35.89967,150.83673,2009-07-27 12:24:12,Temperate East,0
-35.89967,150.83673,2009-07-27 12:24:12,Temperate East,0
-36.2417,150.72227,2009-07-27 13:22:47,Temperate East,0
-36.2417,150.72227,2009-07-27 13:22:47,Temperate East,0
-36.58362,150.60679,2009-07-27 14:21:21,South-east,3.5393
-36.58362,150.60679,2009-07-27 14:21:21,South-east,3.5393
-36.92543,150.49029,2009-07-27 15:19:56,South-east,0
-36.92543,150.49029,2009-07-27 15:19:56,South-east,0
-37.26713,150.37275,2009-07-27 16:18:30,South-east,0
-37.26713,150.37275,2009-07-27 16:18:30,South-east,0
-38.12597,149.70753,2010-06-05 01:50:27,South-east,0
-38.12597,149.70753,2010-06-05 01:50:27,South-east,0
-38.37143,149.42086,2010-06-05 02:48:18,South-east,0
-38.37143,149.42086,2010-06-05 02:48:18,South-east,0
-38.48733,149.0238,2010-06-05 03:46:08,South-east,0
-38.48733,149.0238,2010-06-05 03:46:08,South-east,0
-38.59998,148.62387,2010-06-05 04:43:59,South-east,0
-38.59998,148.62387,2010-06-05 04:43:59,South-east,0
-37.62451,150.16881,2010-01-14 03:22:30,South-east,0
-37.62451,150.16881,2010-01-14 03:22:30,South-east,0
-37.88652,149.90851,2010-01-14 04:26:32,South-east,0
-37.88652,149.90851,2010-01-14 04:26:32,South-east,0
-38.14795,149.64636,2010-01-14 05:30:35,South-east,0
-38.14795,149.64636,2010-01-14 05:30:35,South-east,0
-38.38986,149.36503,2010-01-14 06:34:38,South-east,0
-38.38986,149.36503,2010-01-14 06:34:38,South-east,0
-38.50367,148.96618,2010-01-14 07:38:40,South-east,0
-38.50367,148.96618,2010-01-14 07:38:40,South-east,0
-38.61612,148.56608,2010-01-14 08:42:43,South-east,0
-38.61612,148.56608,2010-01-14 08:42:43,South-east,0
-38.72665,148.16448,2010-01-14 09:46:46,South-east,0
-38.72665,148.16448,2010-01-14 09:46:46,South-east,0
-38.83313,147.76052,2010-01-14 10:50:48,South-east,0
-38.83313,147.76052,2010-01-14 10:50:48,South-east,0
-38.93822,147.35535,2010-01-14 11:54:51,South-east,0
-38.93822,147.35535,2010-01-14 11:54:51,South-east,0
-37.51904,150.27325,2009-07-27 17:02:26,South-east,0
-37.5887,150.20453,2009-07-27 17:17:05,South-east,0
-37.5887,150.20453,2009-07-27 17:17:05,South-east,0
-37.86697,149.92835,2009-07-27 18:15:39,South-east,0
-37.86697,149.92835,2009-07-27 18:15:39,South-east,0
-38.71119,148.22267,2010-06-05 05:41:50,South-east,0
-38.71119,148.22267,2010-06-05 05:41:50,South-east,0
-26.86324,153.48872,2009-07-25 05:26:45,Temperate East,0
-26.86324,153.48872,2009-07-25 05:26:45,Temperate East,0
-27.14316,153.66985,2009-07-25 06:20:50,Temperate East,0
-27.14316,153.66985,2009-07-25 06:20:50,Temperate East,0
-27.46857,153.75236,2009-07-25 07:14:55,Temperate East,0
-27.46857,153.75236,2009-07-25 07:14:55,Temperate East,0
-27.8023,153.7729,2009-07-25 08:08:59,Temperate East,0
-27.8023,153.7729,2009-07-25 08:08:59,Temperate East,0
-28.13604,153.79356,2009-07-25 09:03:04,Temperate East,0
-28.13604,153.79356,2009-07-25 09:03:04,Temperate East,0
-28.46977,153.81435,2009-07-25 09:57:09,Temperate East,0
-28.46977,153.81435,2009-07-25 09:57:09,Temperate East,0
-28.80208,153.79889,2009-07-25 10:51:14,Temperate East,0
-28.80208,153.79889,2009-07-25 10:51:14,Temperate East,0
